AAA,87.05,5.78,2.56,0.69,0.16,0.24,0.13,0,0.05,0,0.03,0.05,0,0,0.03,0,0.05,0
AA+,2.42,77.53,11.54,3.78,0.76,0.4,0.2,0.05,0.1,0.05,0,0,0,0,0,0,0,0
AA,0.44,1.29,80.25,8.71,2.83,1.21,0.39,0.4,0.13,0.08,0.05,0.03,0.02,0.02,0,0.02,0.05,0.02
AA-,0.04,0.12,3.97,78.01,10.07,2.34,0.61,0.28,0.16,0.07,0.03,0,0,0.03,0.09,0,0,0.03
A+,0,0.06,0.48,4.58,77.51,9.1,2.29,0.66,0.35,0.09,0.06,0.1,0.01,0.07,0.03,0,0,0.05
A,0.04,0.05,0.24,0.46,5.26,78.04,7.04,2.57,0.93,0.29,0.12,0.11,0.08,0.1,0.02,0,0.02,0.06
A-,0.04,0.01,0.07,0.17,0.48,6.72,76.84,7.62,2.22,0.62,0.15,0.15,0.13,0.12,0.03,0.01,0.03,0.07
BBB+,0,0.01,0.06,0.07,0.23,0.86,7.26,74.4,8.41,1.8,0.41,0.34,0.15,0.18,0.12,0.03,0.07,0.12
BBB,0.01,0.01,0.05,0.03,0.11,0.34,1.12,7.68,75.01,6.41,1.41,0.66,0.3,0.25,0.13,0.04,0.06,0.17
BBB-,0.01,0.01,0.02,0.05,0.06,0.16,0.31,1.26,9.11,71.63,5.85,2.18,0.92,0.41,0.25,0.17,0.23,0.26
BB+,0.05,0,0,0.03,0.02,0.1,0.08,0.46,1.84,11.51,63.56,7.8,2.95,1.04,0.65,0.26,0.43,0.36
BB,0,0,0.04,0.01,0,0.07,0.05,0.19,0.56,2.26,9.67,64.74,8.13,2.34,1.07,0.35,0.6,0.58
BB-,0,0,0,0.01,0.01,0.01,0.05,0.11,0.25,0.39,1.87,9.34,63.09,8.64,3.19,0.83,0.75,1.05
B+,0,0.01,0,0.03,0,0.03,0.07,0.05,0.06,0.12,0.31,1.51,8.07,63.14,8.91,2.55,1.76,2.15
B,0,0,0.01,0.01,0,0.04,0.05,0.02,0.07,0.04,0.14,0.26,1.28,7.94,61.36,8.55,4.17,3.89
B-,0,0,0,0,0.02,0.04,0,0.08,0.06,0.12,0.1,0.18,0.47,2.32,10.16,53.36,11.77,7.49
CCC,0,0,0,0,0.03,0,0.1,0.06,0.06,0.06,0.03,0.16,0.44,1.08,2.73,9.11,43.97,26.78
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
AAA,0.8705,0.0578,0.0256,0.0069,0.0016,0.0024,0.0013,0,0.0005,0,0.0003,0.0005,0,0,0.0003,0,0.0005,0
AA+,0.0242,0.7753,0.1154,0.0378,0.0076,0.004,0.002,0.0005,0.001,0.0005,0,0,0,0,0,0,0,0
AA,0.0044,0.0129,0.8025,0.0871,0.0283,0.0121,0.0039,0.004,0.0013,0.0008,0.0005,0.0003,0.0002,0.0002,0,0.0002,0.0005,0.0002
AA-,0.0004,0.0012,0.0397,0.7801,0.1007,0.0234,0.0061,0.0028,0.0016,0.0007,0.0003,0,0,0.0003,0.0009,0,0,0.0003
A+,0,0.0006,0.0048,0.0458,0.7751,0.091,0.0229,0.0066,0.0035,0.0009,0.0006,0.001,0.0001,0.0007,0.0003,0,0,0.0005
A,0.0004,0.0005,0.0024,0.0046,0.0526,0.7804,0.0704,0.0257,0.0093,0.0029,0.0012,0.0011,0.0008,0.001,0.0002,0,0.0002,0.0006
A-,0.0004,0.0001,0.0007,0.0017,0.0048,0.0672,0.7684,0.0762,0.0222,0.0062,0.0015,0.0015,0.0013,0.0012,0.0003,0.0001,0.0003,0.0007
BBB+,0,0.0001,0.0006,0.0007,0.0023,0.0086,0.0726,0.744,0.0841,0.018,0.0041,0.0034,0.0015,0.0018,0.0012,0.0003,0.0007,0.0012
BBB,0.0001,0.0001,0.0005,0.0003,0.0011,0.0034,0.0112,0.0768,0.7501,0.0641,0.0141,0.0066,0.003,0.0025,0.0013,0.0004,0.0006,0.0017
BBB-,0.0001,0.0001,0.0002,0.0005,0.0006,0.0016,0.0031,0.0126,0.0911,0.7163,0.0585,0.0218,0.0092,0.0041,0.0025,0.0017,0.0023,0.0026
BB+,0.0005,0,0,0.0003,0.0002,0.001,0.0008,0.0046,0.0184,0.1151,0.6356,0.078,0.0295,0.0104,0.0065,0.0026,0.0043,0.0036
BB,0,0,0.0004,0.0001,0,0.0007,0.0005,0.0019,0.0056,0.0226,0.0967,0.6474,0.0813,0.0234,0.0107,0.0035,0.006,0.0058
BB-,0,0,0,0.0001,0.0001,0.0001,0.0005,0.0011,0.0025,0.0039,0.0187,0.0934,0.6309,0.0864,0.0319,0.0083,0.0075,0.0105
B+,0,0.0001,0,0.0003,0,0.0003,0.0007,0.0005,0.0006,0.0012,0.0031,0.0151,0.0807,0.6314,0.0891,0.0255,0.0176,0.0215
B,0,0,0.0001,0.0001,0,0.0004,0.0005,0.0002,0.0007,0.0004,0.0014,0.0026,0.0128,0.0794,0.6136,0.0855,0.0417,0.0389
B-,0,0,0,0,0.0002,0.0004,0,0.0008,0.0006,0.0012,0.001,0.0018,0.0047,0.0232,0.1016,0.5336,0.1177,0.0749
CCC,0,0,0,0,0.0003,0,0.001,0.0006,0.0006,0.0006,0.0003,0.0016,0.0044,0.0108,0.0273,0.0911,0.4397,0.2678
