From States,To States,Periods,Tenor,Tenor,Tenor,Tenor,Tenor,Tenor,Tenor,Tenor
7,9,8,1,2,3,5,7,10,15,20
87.05,9.03,0.53,0.05,0.08,0.03,0.05,0,3.17,,
0.52,86.82,8,0.51,0.05,0.07,0.02,0.02,3.99,,
0.03,1.77,87.79,5.33,0.32,0.13,0.02,0.06,4.55,,
0.01,0.1,3.51,85.56,3.79,0.51,0.12,0.18,6.23,,
0.01,0.03,0.12,4.97,76.98,6.92,0.61,0.72,9.63,,
0,0.03,0.09,0.19,5.15,74.26,4.46,3.76,12.06,,
0,0,0.13,0.19,0.63,12.91,43.97,26.78,15.39,,
75.74,16.08,1.44,0.11,0.19,0.05,0.11,0.03,6.26,,
0.91,75.47,14.17,1.31,0.19,0.15,0.02,0.06,7.73,,
0.04,3.19,77.22,9.24,0.81,0.29,0.05,0.15,9.02,,
0.02,0.19,6.43,73.67,6.01,1.13,0.22,0.52,11.82,,
0.01,0.05,0.31,8.79,59.41,10.31,1.1,2.25,17.76,,
0,0.04,0.16,0.46,8.68,55.13,5.11,8.56,21.86,,
0,0,0.17,0.54,1.08,16.61,22.03,35.53,24.03,,
65.51,22.03,2.36,0.32,0.19,0.08,0.11,0.13,9.27,,
1.21,65.83,18.69,2.11,0.36,0.23,0.03,0.13,11.42,,
0.06,4.15,68.49,11.83,1.34,0.46,0.1,0.26,13.31,,
0.02,0.29,8.54,64.33,7.08,1.69,0.3,0.91,16.83,,
0.01,0.06,0.54,11.22,46.65,11.61,1.28,4.07,24.55,,
0,0.03,0.23,0.84,10.48,41.37,4.66,12.78,29.62,,
0,0,0.14,0.61,1.65,16.62,10.9,40.68,29.39,,
49.58,28.37,4.86,0.81,0.24,0.16,0.08,0.35,15.53,,
1.49,50.29,24.87,3.71,0.59,0.39,0.04,0.34,18.26,,
0.08,5.22,54.95,15.13,2.15,0.71,0.16,0.57,21.04,,
0.03,0.47,10.51,51.02,7.68,2.29,0.4,1.93,25.68,,
0.01,0.08,1.06,12.72,30.83,11.08,1.32,7.84,35.06,,
0.01,0.03,0.28,1.63,10.55,24.83,2.99,19.25,40.42,,
0,0,0.12,0.74,2.98,12.18,2.53,46.96,34.49,,
38.31,31.58,6.99,1.5,0.3,0.19,0.11,0.53,20.49,,
1.55,39.26,28.08,4.91,0.79,0.4,0.03,0.57,24.42,,
0.08,5.46,45.54,16.73,2.71,0.86,0.15,0.98,27.5,,
0.03,0.61,10.93,42.12,7.4,2.47,0.39,3,33.03,,
0,0.09,1.43,12.5,21.96,9.75,1.06,11.17,42.04,,
0.01,0.02,0.38,2.1,8.92,15.71,1.75,24.15,46.96,,
0,0,0.23,0.97,3.51,7.95,1.48,49.51,36.34,,
26.01,32.25,9.82,2.87,0.18,0.21,0.06,0.74,27.87,,
1.32,28.24,29.36,6.82,1.05,0.44,0.03,0.83,31.9,,
0.11,5.35,35.26,17.61,3,0.99,0.14,1.61,35.92,,
0.02,0.74,10.85,32.58,6.7,2.46,0.33,4.56,41.77,,
0.02,0.07,1.79,11.24,14.64,7.75,0.67,15.39,48.43,,
0,0.04,0.45,2.57,6.87,8.67,0.9,28.71,51.8,,
0,0,0.18,0.84,3.5,4.53,0.36,50.57,40.01,,
13.3,29.98,14.94,2.86,0.61,0.44,0.03,0.92,36.9,,
0.96,16.42,27.4,9.1,1.32,0.66,0.03,1.15,42.95,,
0.12,3.99,24.47,17.49,3.21,1.21,0.16,2.71,46.64,,
0,0.77,8.35,23.14,5.49,2.51,0.26,7.65,51.83,,
0,0.14,1.99,8.31,8.25,5.23,0.44,21.81,53.83,,
0,0.07,0.51,2.43,3.67,3.89,0.47,36.94,52.02,,
0,0,0.59,1.07,2.63,1.07,0.2,59.41,35.02,,
5.72,24.84,18.94,3.59,0.93,0.93,0.04,1.38,43.61,,
0.68,9.24,22.74,11.76,1.61,0.9,0.06,1.84,51.17,,
0.11,2.81,18,15.43,3.17,1.51,0.19,3.91,54.87,,
0,0.71,6.86,18.5,4.01,1.88,0.16,9.66,58.21,,
0,0.06,1.63,6.85,4.13,3.73,0.46,24.39,58.75,,
0,0.02,0.44,2.63,2.77,2.1,0.28,36.21,55.54,,
0,0,0.36,0.72,2.15,0.54,0,56.63,39.61,,
